Station name,Adelphi Weir Upstream,,,,
Station number,690511,,,,
External number,---,,,,
River,River Irwell,,,,
Operator,---,,,,
NGR,SJ8241498723,,,,
Easting,382414,,,,
Northing,398723,,,,
Parameter-name,FQ [Flow],,,,
Parameter Type,Flow,,,,
Time series name,GMC/690511/FQ/15m.Cmd.Runoff.C,,,,
Time series unit,m_/s,,,,
Time level,High-resolution,,,,
Time series type,Other,,,,
Equidistant time series,yes,,,,
Time series value distance,15 minute,,,,
Time series quality,Production,,,,
Time series measuring method,---,,,,
Period of record in file: 25/12/2015 00:00:00 to 31/12/2015 23:45:00,,,,,
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace,,,,
Time stamp,Value[m_/s],State of value,Interpolation,Tags,Comments
25/12/2015 21:00,124,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
25/12/2015 21:15,144,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
25/12/2015 21:30,161,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
25/12/2015 21:45,176,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
25/12/2015 22:00,189,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
25/12/2015 22:15,200,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
25/12/2015 22:30,207,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
25/12/2015 22:45,220,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
25/12/2015 23:00,224,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
25/12/2015 23:15,229,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
